,time,usuario,device,colocation,acc_x,acc_y,acc_z,la_x,la_y,la_z,Activity
3573,04-04-2022-21:20:46.859,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.693412,1.3311762,-7.896077,-0.38932943,-0.14704287,-0.3472023,Lying
3574,04-04-2022-21:20:46.870,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.707777,1.3215994,-7.9391727,-0.37396955,-0.15582001,-0.38933992,Lying
3575,04-04-2022-21:20:46.879,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.3359646,-7.9726915,-0.35382366,-0.14065754,-0.42190313,Lying
3576,04-04-2022-21:20:46.889,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.731719,1.2880806,-7.9583263,-0.34803104,-0.18780828,-0.40658617,Lying
3577,04-04-2022-21:20:46.899,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7365074,1.3072342,-7.929596,-0.3423214,-0.167763,-0.37693977,Lying
3578,04-04-2022-21:20:46.910,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7269306,1.3024458,-7.991845,-0.35082006,-0.17165911,-0.43814707,Lying
3579,04-04-2022-21:20:46.919,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.66947,1.3790601,-7.896077,-0.4072194,-0.09417379,-0.34135532,Lying
3580,04-04-2022-21:20:46.929,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.3551182,-7.9487495,-0.3868146,-0.117376566,-0.39287806,Lying
3581,04-04-2022-21:20:46.939,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7029886,1.3024458,-7.9822683,-0.37112236,-0.16939163,-0.42520142,Lying
3582,04-04-2022-21:20:46.950,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.7029886,1.364695,-7.9343843,-0.369812,-0.10642338,-0.37612438,Lying
3583,04-04-2022-21:20:46.959,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6886234,1.3215994,-7.920019,-0.38296747,-0.14865649,-0.36062002,Lying
3584,04-04-2022-21:20:46.969,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,5.6790466,1.340753,-7.97748,-0.3914318,-0.12857914,-0.4170084,Lying
